id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
2654,آزمایشگاه پالا فرایند راستین,,,, شرکت های خدماتی,,,44693505,,,,,44693556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس : تهران، شهرک اکباتان، فاز 1، خیابان نفیسی، نبش کوچه باریکانی، طبقه فوقانی بانک کشاورزی، واحد 1",,,,,,,,,,,,,,,,
2655,آزمایشگاه کیوان,,,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09021969607, 09128908814, 09019770934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,آزمایشگاه لاوازیه,,,, شرکت های خدماتی,,,021-77891869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ضلغ جنوب شرقی میدان رسالت شماره 778,,,,,,,,,,,,,,,,
2657,آژانس قصر شایان رویائی,,,, شرکت های خدماتی,,,021-88464462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09129368990,,,,,,,,,,,,,,,,,,,,,,,,گرفتن تور کیش برای  خواهر خانم ابراهیمی,,,,,,,,,,
2658,آژانس مسافرتی ستاره ونک,,,, شرکت های خدماتی,,,88880000,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,09371698193,,,,,,,,,,,,,,,,,,"آدرس : میدان ونک، نرسیده به چهار راه جهان کودک، ضلع شمالی ، دست چپ، پلاک 53",,,,,,,,,,,,,,,,
2659,آسانسوری شرقی,,,, شرکت های خدماتی,,,021-77945679,,,,, 021-77194187,,,,,,,,,,,,,,,,,,,,,,,,,,"09123056172, 09123434132",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران مجتمع تجاری گلبرگ، ورودی شرقی",,,,,,,,,,,,,,,,
2660,,,آقایی,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123161640,,,,,,,,,,,,,,,,,,,,,,,,تعمیرات کولر گازی در پایین مجتمع,,,,,,,,,,
2661,,,آقایی,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123161640,,,,,,,,,,,,,,,,,,,,,,,,تعمیر گولر در پایین مجتمع,,,,,,,,,,
2662,,,آلبرت,, شرکت های خدماتی,تراشکار,مرد,021-77490914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121865843,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران دلاوران ، خیابان تکاوران جنوبی ، پلاک 39 ، تراشکاری آلبرت",,,,,,,,,,,,,,,,
2663,,,ابراهیم پور,, شرکت های خدماتی,محضر دار,مرد,021-77958750,,,,, 021-77956504,,,,,,,,,,,,,,,,,,,,,,,,,,09122468199,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2664,اتاق بازرگانی ایران و کره,,,, شرکت های خدماتی,,,021-88381326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88381327,9353287102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,ارزش افزوده سبلان ,,,, شرکت های خدماتی,,, 021-77583330,,,154,,021-77583339,,,,,021-77587263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,کلید ساز,,استیری,, شرکت های خدماتی,قفل ساز ,مرد,021-77958415,,,,,021-77927221,,,,,021-77913495 ,,,,,,,,,,,,,,,,,,,,,09355058805,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران دردشت,,,,,,,,,,,,,,,,
2667,لوله کش,,اسحاق,, شرکت های خدماتی,لوله کش ,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09195619938,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,لوله کش واحد 52,,,,,,,,,,
2668,,,افروزی,, شرکت های خدماتی,برق کار,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121765201,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2669,الکتریکی جهان نما,,,, شرکت های خدماتی,,,021-33111699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران ابتدای لاله زار جنوبی، روبروی خیابان اکباتان، پلاک 12",,,,,,,,,,,,,,,,
2670,کابینت,,امیری,, شرکت های خدماتی,کابینت,مرد,021-88760013,,,,, 021-88763460,,,,,,,,,,,,,,,,,,,,,,,,,,"09121879021, 09122806680",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سهروردی شمالی، از بالا به پائین نرسیده به هویزه، کوچه سرمد، پلاک 2، واحد 11",,,,,,,,,,,,,,,,
2671,انجام کارهای ثبتی,,صادقی,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121310456,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2672,ایده پردازان یکتا,,,, شرکت های خدماتی,,,88932002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,ایران هاست,,,, شرکت های خدماتی,,,021-83305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران تهران، خیابان استاد مطهری (تخت طاووس)، نرسیده به مفتح، خیابان قابوس نامه، پلاک 10 ، طبقه 3، واحد 4",,,,,,,,,,,,,,,,
2674,ایرانکد سخاروش,,,, شرکت های خدماتی,,,021-77533519,,,,,021-775219250,,,,,,,,,,,,,,,,,,,,,,,,,021-77537478,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران هفت تیر، خیابان بهارشیراز، بعد از سهروردی، نبش خداپرست، شماره 58 ، طبقه اول",,,,,,,,,,,,,,,,
2675,ایرانکده آذین سیستم هوشمند,,,, شرکت های خدماتی,,,0263-2541341,,,,,0263-2541340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2676, QMS,,,, شرکت های خدماتی,,,021-88728995,,,,,021-88103116,,,,,021-88103117,,,,,,,,,,,,,,,,,,,,021-88713951,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان ولیعصر ، بین بهشتی و پارک ساعی ، جنب رستوران نایب ، برج سرو ساعی ، طبقه 17 ، واحد 1701 ",,,,,,,,,,,,,,,,
2677, SGS,,,, شرکت های خدماتی,,,021-88736554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88736074,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین ، خیابان احمد قیصر  بخارست ،نبش کوچه 18 ، پلاک 47 ، طبقه اول",,,,,,,,,,,,,,,,
2678, URS,,,, شرکت های خدماتی,,, 021-22170106,,,,,021-22170107,,,,,,,,,,,,,,,,,,,,,,,,,"021-22425304, 021-22425303",,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2679,ایمن توان,,,, شرکت های خدماتی,,, 021-88552225,,,,,021-77646308,,,,,,,,,,,,,,,,,,,,,,,,,021-77651337,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران ،خیابان بهار شمالی ، شماره 267  215 قدیم",,,,,,خدمات پس از فروش 77646308-9 فروش 88552225-6 دستگاه ups,,,,,,,,,,
2680,ایمن تهران ,,,, شرکت های خدماتی,,,021-88972016,,,,,021-88962919,,,,,,,,,,,,,,,,,,,,,,,,,021-88966279,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران بلوار کشاورزی ، روبروی بیمارستان پارس ، شماره 158 ، طبقه 4 ",,,,,,تجهیزات ایمنی فردی و مبارزه با حریق,,,,,,,,,,
2681,ایمن صدرا ,,,, شرکت های خدماتی,,,021-36471858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران جاده خاوران ، شریف آباد ، بعد از بیمارستان زعیم ، جنب گلزار شهدا",,,,,,مولایی   09121398945          میرزایی  09122910940 ; کپسول آتشنشانی,,,,,,,,,,
2682,اینترنت کارخانه,,,, شرکت های خدماتی,,,0232-4624117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-4621555,09192293528,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2683, آسیاتک,,,, شرکت های خدماتی,,, 021-22376081,,,,,021-82144256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,طرح 6 ماهه 2 گیگ 512 به شماره 77384756,,,,,,,,,,
2684,بازرسی SAI,,,, شرکت های خدماتی,,,021-8887821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2685,بازرسی SGS,,,, شرکت های خدماتی,,,021-88774224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2686,بازرسی SGS,,,, شرکت های خدماتی,,,021-88736554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88736075,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان آرژانتین، ابتدای بخارست، نبش کوچه 18 ، پلاک 47 ، طبقه 2",,,,,,,,,,,,,,,,
2687,بازرسی ایران,,,, شرکت های خدماتی,,,021-88778892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2688,بازرسی اینترتک قشم,,,, شرکت های خدماتی,,,021-88672732,,,,,021-88672733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2689,بازرسی بانک پاسارگاد,,,, شرکت های خدماتی,,,021-22176067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09181111009,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2690,بازرسی بخرد,,,, شرکت های خدماتی,,,021-22894345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2691,بازرسی فنی نسا بین الملل,,,, شرکت های خدماتی,,, 021-22667000,,,,,076-33514082,,,,,,,,,,,,,,,,,,,,,,,,,,"09173613312, 09364789998",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران ولیعصر، روبروی در اصلی پارک ملت ، پلاک 2617، طبقه چهارم ، واحد 17",,,,,,,,,,,,,,,,
2692,بازرگانی تیشو,,,, شرکت های خدماتی,,,021-77616507,,,,,021-77616508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2693,بازرگانی غوابش اهواز,,,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09163000099,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2694,بانیان امید,,,, شرکت های خدماتی,,, 021-22662758,,,,, 021-887200057,,,,,021-22662762,,,,,021-74501000,,,,,021-2266247,,,,,021-22001750,,,,,021-22004528,"09380872881, 09121964560, 09102018343, 09102018323",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1(پستی) : تهران، نمایشگاه بین المللی ، ورودی شرقی، سالن 5، طبقه زیرین سالن 5B ایران تهران تهران خیابان شریعتی، بالاتر از ایستگاه مترو قلهک، کوچه سجاد، پلاک 70، طبقه 2، واحد5", ,,,,,مسئول طراحی غرفه آقای رسولی و میلانی هستن,,,,,,,,,,
2695,,حسین, باهوش,, شرکت های خدماتی,لوله کش ,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09192967123,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2696,بتن سبحان,, باغانی,, شرکت های خدماتی,,,021-22940739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2697,بنا,بهرام ,قلی پور,, شرکت های خدماتی,بنا,مرد,021-77491019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09126104576,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2698,,علی, بنایی,, شرکت های خدماتی,وکیل,مرد,021-88345471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121881262,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان کریم خان،خردمند شمالی، پلاک 91، واحد 4",,,,,,,,,,,,,,,,
2699,بنگاه کاروان,,,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-56519260,9207052400,,,,,,,,,,,,,,,,,,"جاده قدیم قم، شورآباد،بعد از خیابان مهدی آباد، خیابان خلیج فارس، اولین درب ، سمت راست،",,,,,,,,,,,,,,,,
2700,خانم قانعی,,,, شرکت های خدماتی,,,021-42151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,,,به روغنی ,, شرکت های خدماتی,لیزو,مرد,021-22171589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-22171588,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2702,ایزو,,به روغنی,, شرکت های خدماتی,,,021-22171589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-22171588,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2703,بهشت کویر آریانا,,,, شرکت های خدماتی,,,028-32848775,,,,, 021-88661457,,,,, 021-88840525,,,,,,,,,,,,,,,,,,,,,09121547748,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 : تهران، گاندی، کوچه 19 ، پلاک 23 ، واحد 7 ایران تهران تهران آدرس 1 (پستی ) : تهران، کیلومتر 125 آزاد راه تهران  قزوین، شهرک صنعتی کاسپین، فاز دو ، میدان صنعت ، انتهای صنعت ششم",1517867118 4518424344,,,,,,,,,,,,,,,
2704,بیمه SOS,,,, شرکت های خدماتی,,, 021-88648400,,,,,021-88648420,,,,,021-88648430,,,,,021-88648424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان گاندی، خیابان پانزدهم، پلاک 24 ، واحد 1",,,,,,,,,,,,,,,,
2705,بیمه آرزو,,,, شرکت های خدماتی,,,021-81942262,,,,,021-81942251,,,,,,,,,,,,,,,,,,,,,,,,,,09127616890,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,آرزو دوست شیما,,,,,,,,,,
2706,بیمه آسیا,,مهدوی,, شرکت های خدماتی,,, 021-77945974,,,,,021-77945974,,,,,,,,,,,,,,,,,,,,,,,,,,"09125375328, 09369958068",,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2707,بیمه ایران,,تاجیک,, شرکت های خدماتی,,, 021-55720101,,,,,021-55767103,,,,,,,,,,,,,,,,,,,,,,,,,021-55782103,"09121765587, 09122869542, 09127777107",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان 16 متری امیری، بالاتر از 30 متری جی، پلاک 383",,,,,,ید الهی 55767103 شماره شما بانک تجارت : 910180000000000033630778,,,,,,,,,,
2708,بیمه ایوانکی,,,, شرکت های خدماتی,,,"023-4622010, ",,,,,023-34522061,,,,,023-4622062,,,,, 023-4623140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2709,بیمه پاسارگاد ,,,, شرکت های خدماتی,,,021-41994961,,,,, 021-50586559,,,,, 021-50222910,,,,,,,,,,,,,,,,,,,,,"09124383221, 09198213851",,,,,,,,,,,,,,,,,,,,,,,,حضوری دفتر آمدن برای توضیح بیمه عمر,,,,,,,,,,
2710,بیمه پاسارگاد ,, جعفری,, شرکت های خدماتی,,زن,021-77886615,,,,, 021-77886613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,بیمه تامین اجتماعی,,,, شرکت های خدماتی,,, 021-3327348,,,,,021-4522061,,,,,021-64015001,,,,,021-64015003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,پشتیبانی سایت,,,,,,,,,,
2712,بیمه تامین اجتماعی شعبه 16,,,, شرکت های خدماتی,,,021-77726391,,,,,021-77726386,,,,, 021-77726250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2713,بیمه تکمیلی آسماری کمک رسان ایران SOS,,,, شرکت های خدماتی,,,43417,,,454,,88648421,696,,,43417,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس (بیمه خانم ابراهیمی) : تهران ، خیابان 15 گاندی، پلاک 24، طبقه همکف",,,,,,,,,,,,,,,,
2714,بیمه رازی,,,, شرکت های خدماتی,,,021-88947215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-88944534,09199212294,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2715,بیمه ,,رضایی مهر,, شرکت های خدماتی,,,021-77938940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-77938941,09122890746,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,"شماره کارت: 610433780497132
شماره حساب: 2140859339",,,,,,,,,,
2716,بیمه کارآفرین,, پیکارجو,, شرکت های خدماتی,,,021-55295427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-55295265,09128123050,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2717,بیمه مسافرتی,,,, شرکت های خدماتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09125307383, 09124958189",,,,,,,,,,,,,,,,,,,,,,,,انجام بیمه های مسافرتی آقا میثم,,,,,,,,,,
2718,بیمه ملت,,,, شرکت های خدماتی,,,021-77940838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09122072592,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان فرجام، نرسیده به چهارراه خاور، پلاک 736، واحد 3",,,,,,,,,,,,,,,,
2719,بیمه نوین,,,, شرکت های خدماتی,,, 021-22907459,,,,,021-22907455,,,,, 021-22907456,,,,,,,,,,,,,,,,,,,,021-22257269,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میرداماد، میدان مادر، خیابان بهروز، پلاک 11",,,,,,,,,,,,,,,,
2720,پارس آنلاین,,,, شرکت های خدماتی,,,021-82201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2721,پارس تدوین,,پذیرش,, شرکت های خدماتی,,,021-88774358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09125708665, 09304672781",,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,پذیرش,,,,,,,,,,
2722,پاناسونیک,,,, شرکت های خدماتی,,, 021-88812592,,,,,021-88447088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان طالقانی، بعد از چهارراه مفتح، نبش ملک الشعرا، ساختمان ایران بک، طبقه سوم، واحد 6",,,,,,تعمیرکار فکس,,,,,,,,,,
2723,پاناسونیک,, لواشی,, شرکت های خدماتی,,, 021-77924190,,,,,021-77924150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران مجتمع تجاری گلبرگ، طبقه سوم شرقی، واحد 55",,,,,,,,,,,,,,,,
2724,,پویان ,هوشیار,, شرکت های خدماتی,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09335383271,,,pooyan206@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,پردازشگر,,مطهر,, شرکت های خدماتی,,, 021-77950158,,,,,021-95112511,,,,, 021-77946287,,,,,,,,,,,,,,,,,,,,,09125374535,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران مجتمع تجاری گلبرگ، ورودی شرقی",,,,,,عباسی 77946287-09354097693 - 09123110645 ;09354097693,,,,,,,,,,
2726,پژوهشکده مهندسی,,جنگی,, شرکت های خدماتی,,, 021-66282072 ,,,,,021-66282073,,,,,021-66282077,,,,, 021-66282071,,,,,021-66282070,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,داخلی 2426,,,,,,,,,,
2727,پژوهشگاه صنعت نفت,,,, شرکت های خدماتی,,,021-44739730,,,,,021-48253176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
2728,پژوهشگاه نیرو,,,, شرکت های خدماتی,,,021-88079402 ,,,,,021-88590149,,,,,021-88079401,,,,,021-88079405,,,,,021-88079403,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,امامی    09351765831,,,,,,,,,,
